Role,Text,Outcome
Data Scientist,"Entry-level professional with 10 years of experience. Master's in Information Technology. Proficient in Critical Thinking, Power BI, NumPy. Experienced with Data Warehousing, TensorFlow, Computer Science. Completed projects involving Research. Strong background in .",1
Data Scientist,"Entry-level professional with 7 years of experience. Bachelor's in Data Science. Proficient in TensorFlow, Research, R. Experienced with Data Visualization, Hypothesis Testing, SQL. Completed projects involving Big Data, Data Warehousing. Strong background in Computer Science.",1
Software Engineer,"Junior professional with 4 years of experience. Master's in Computer Science. Proficient in Documentation, Data Structures, Spring. Experienced with Computer Science, Database Design, Unit Testing. Completed projects involving Communication, Microservices. Strong background in Git.",1
Web Developer,"Lead professional with 7 years of experience. Master's in Data Science. Skills include Data Analysis, Biology, Chemistry. Knowledge of Financial Modeling, Mechanical Engineering. ",0
AI/ML Engineer,"Senior professional with 5 years of experience. Master's in Computer Science. Skills include Project Management, Accounting, Marketing. Knowledge of Sales, Customer Support. ",0
Web Developer,"Entry-level professional with 1 years of experience. Master's in Mathematics. Proficient in User Experience, WordPress, Problem Solving. Experienced with AJAX, CSS, Flask. Completed projects involving React, HTML. Strong background in Frontend Development, PHP.",1
Web Developer,"Entry-level professional with 9 years of experience. Bachelor's in Information Technology. Proficient in Angular, GraphQL, Django. Experienced with REST APIs, User Experience, Ruby on Rails. Completed projects involving HTML. Strong background in .",1
AI/ML Engineer,"Junior professional with 9 years of experience. Bachelor's in Information Technology. Proficient in TensorFlow, Reinforcement Learning, Research. Experienced with Model Deployment, CUDA, Data Structures. Completed projects involving Computer Vision, Scikit-learn. Strong background in .",1
Software Engineer,"Junior professional with 9 years of experience. Master's in Computer Science. Proficient in Software Development, Object-Oriented Programming, Design Patterns. Experienced with Problem Solving, Software Architecture, Data Structures. Completed projects involving Spring, Database Design. Strong background in Python, Kubernetes.",1
AI/ML Engineer,"Entry-level professional with 5 years of experience. Bachelor's in Engineering. Skills include Marketing, Customer Support, Project Management. Knowledge of Sales, Content Creation. ",0
Web Developer,"Senior professional with 8 years of experience. Master's in Computer Science. Skills include Healthcare Management, Data Analysis, Mechanical Engineering. Knowledge of Financial Modeling, Biology. ",0
AI/ML Engineer,"Senior professional with 10 years of experience. Master's in Information Technology. Proficient in Computer Vision, Mathematics, NLP. Experienced with Machine Learning, Neural Networks, PyTorch. Completed projects involving Data Structures, Research. Strong background in .",1
Web Developer,"Junior professional with 3 years of experience. Master's in Mathematics. Skills include Chemistry, Biology, Healthcare Management. Knowledge of Mechanical Engineering, Financial Modeling, Data Analysis. ",0
Data Scientist,"Senior professional with 10 years of experience. Bachelor's in Information Technology. Skills include Marketing, Customer Service, Accounting. Knowledge of Sales, Project Management. ",0
AI/ML Engineer,"Lead professional with 7 years of experience. PhD in Statistics. Skills include Marketing, Customer Support, Accounting. Knowledge of Content Creation, Sales, Project Management. ",0
Web Developer,"Entry-level professional with 1 years of experience. Master's in Mathematics. Proficient in AJAX, Express.js, UI/UX. Experienced with Node.js, Computer Science, CSS. Completed projects involving WordPress, JavaScript. Strong background in Flask.",1
Data Scientist,"Lead professional with 7 years of experience. Master's in Engineering. Skills include Data Mining, TensorFlow, Accounting. Knowledge of Power BI, Marketing, Project Management. ",0
Software Engineer,"Entry-level professional with 10 years of experience. PhD in Statistics. Proficient in JavaScript, CI/CD, Debugging. Experienced with Documentation, Unit Testing, System Design. Completed projects involving Docker, C++. Strong background in Agile, Communication, Problem Solving, Database Design.",1
Web Developer,"Senior professional with 3 years of experience. Bachelor's in Mathematics. Proficient in Express.js, Responsive Design, User Experience. Experienced with Angular, AJAX, Git. Completed projects involving CSS, Bootstrap. Strong background in Webpack.",1
Web Developer,"Mid-level professional with 3 years of experience. Bachelor's in Computer Science. Skills include Biology, HTML, Chemistry. Knowledge of Data Analysis, Financial Modeling, Mechanical Engineering. Worked on projects involving GraphQL. ",0
Web Developer,"Senior professional with 8 years of experience. Master's in Computer Science. Proficient in WordPress, DevOps, HTML. Experienced with Django, Responsive Design, jQuery. Completed projects involving MongoDB, JavaScript. Strong background in PHP, Vue.js.",1
Data Scientist,"Lead professional with 1 years of experience. PhD in Computer Science. Proficient in Data Visualization, Feature Engineering, A/B Testing. Experienced with Critical Thinking, NumPy, Computer Science. Completed projects involving Tableau, Python. Strong background in Research.",1
Software Engineer,"Entry-level professional with 2 years of experience. Bachelor's in Computer Science. Skills include Graphic Design, Financial Analysis, Psychology. Knowledge of Biology, Healthcare, Content Marketing. ",0
Data Scientist,"Senior professional with 7 years of experience. Master's in Engineering. Proficient in Data Analysis, Machine Learning, Research. Experienced with Data Warehousing, Mathematics, Hypothesis Testing. Completed projects involving Critical Thinking, Python. Strong background in Power BI, Tableau.",1
AI/ML Engineer,"Mid-level professional with 1 years of experience. PhD in Computer Science. Proficient in Feature Engineering, Research, MLOps. Experienced with PyTorch, Model Optimization, CUDA. Completed projects involving Data Structures, Statistics. Strong background in .",1
AI/ML Engineer,"Lead professional with 8 years of experience. Bachelor's in Mathematics. Proficient in GPU Acceleration, Model Deployment, TensorFlow. Experienced with Keras, Computer Vision, NLP. Completed projects involving Transfer Learning, Machine Learning. Strong background in Data Structures.",1
AI/ML Engineer,"Entry-level professional with 7 years of experience. Master's in Mathematics. Proficient in MLOps, Scikit-learn, Mathematics. Experienced with Model Optimization, Model Training, Deep Learning. Completed projects involving Data Structures. Strong background in .",1
Data Scientist,"Junior professional with 10 years of experience. Bachelor's in Information Technology. Skills include Content Writing, Marketing, Project Management. Knowledge of HR Management, Sales, Accounting. ",0
Software Engineer,"Senior professional with 2 years of experience. PhD in Statistics. Proficient in Software Architecture, Object-Oriented Programming, Software Development. Experienced with Database Design, Docker, Design Patterns. Completed projects involving Problem Solving, Jenkins. Strong background in .",1
Web Developer,"Entry-level professional with 9 years of experience. Bachelor's in Information Technology. Proficient in JavaScript, jQuery, Responsive Design. Experienced with UI/UX, React, DevOps. Completed projects involving WordPress, AJAX. Strong background in .",1
Data Scientist,"Senior professional with 8 years of experience. Bachelor's in Data Science. Skills include Accounting, Marketing, HR Management. Knowledge of . ",0
Data Scientist,"Lead professional with 6 years of experience. Master's in Mathematics. Proficient in R, Power BI, Statistical Analysis. Experienced with Data Analysis, Research, Data Warehousing. Completed projects involving Data Modeling, Hypothesis Testing. Strong background in Critical Thinking, Feature Engineering.",1
Software Engineer,"Lead professional with 1 years of experience. PhD in Computer Science. Proficient in CI/CD, Python, Computer Science. Experienced with Communication, .NET, Agile. Completed projects involving Version Control, JavaScript. Strong background in Documentation, Java.",1
Software Engineer,"Senior professional with 9 years of experience. Master's in Engineering. Skills include Financial Analysis, Graphic Design, Biology. Knowledge of Healthcare, Content Marketing, Psychology. ",0
Data Scientist,"Lead professional with 5 years of experience. Bachelor's in Information Technology. Skills include Content Writing, Customer Service, Computer Science. Knowledge of Accounting, Python, Project Management. Worked on projects involving Sales, Data Mining, Scikit-learn. ",0
Web Developer,"Lead professional with 7 years of experience. Master's in Data Science. Proficient in DevOps, GraphQL, User Experience. Experienced with HTML, jQuery, Bootstrap. Completed projects involving Flask, Computer Science. Strong background in .",1
AI/ML Engineer,"Entry-level professional with 9 years of experience. Master's in Engineering. Proficient in MLOps, Machine Learning, Feature Engineering. Experienced with Data Structures, Model Deployment, Transfer Learning. Completed projects involving Reinforcement Learning. Strong background in .",1
Web Developer,"Senior professional with 3 years of experience. Bachelor's in Mathematics. Proficient in Flask, Problem Solving, Backend Development. Experienced with AJAX, HTML, User Experience. Completed projects involving Ruby on Rails, Node.js. Strong background in Computer Science, WordPress, jQuery.",1
AI/ML Engineer,"Junior professional with 6 years of experience. Master's in Data Science. Proficient in Research, Model Optimization, Data Preprocessing. Experienced with Data Structures, Neural Networks, Machine Learning. Completed projects involving Reinforcement Learning, GPU Acceleration. Strong background in Python.",1
AI/ML Engineer,"Junior professional with 3 years of experience. Bachelor's in Engineering. Proficient in Computer Vision, Neural Networks, Algorithms. Experienced with Data Structures, Transfer Learning, Scikit-learn. Completed projects involving Model Training, Model Deployment. Strong background in .",1
AI/ML Engineer,"Entry-level professional with 5 years of experience. Bachelor's in Mathematics. Skills include Project Management, Content Creation, Marketing. Knowledge of Sales, Customer Support. ",0
Web Developer,"Junior professional with 6 years of experience. Master's in Mathematics. Proficient in User Experience, Backend Development, Frontend Development. Experienced with MySQL, Express.js, MongoDB. Completed projects involving WordPress, Angular. Strong background in .",1
Software Engineer,"Entry-level professional with 6 years of experience. Master's in Computer Science. Skills include Financial Analysis, Microservices, Agile. Knowledge of Graphic Design, Psychology, Software Architecture. Worked on projects involving Biology, Kubernetes. ",0
AI/ML Engineer,"Entry-level professional with 2 years of experience. Master's in Computer Science. Proficient in Keras, Data Structures, Statistics. Experienced with Mathematics, PyTorch, Research. Completed projects involving CUDA. Strong background in .",1
AI/ML Engineer,"Lead professional with 6 years of experience. Master's in Data Science. Skills include Mathematics, Neural Networks, Project Management. Knowledge of Keras, Customer Support, Accounting. ",0
Software Engineer,"Lead professional with 5 years of experience. PhD in Computer Science. Proficient in Spring, Database Design, Software Architecture. Experienced with Agile, Problem Solving, Communication. Completed projects involving Kubernetes, Data Structures. Strong background in Software Development, Design Patterns, Unit Testing.",1
Data Scientist,"Mid-level professional with 10 years of experience. Bachelor's in Data Science. Proficient in A/B Testing, Critical Thinking, ETL. Experienced with Statistics, TensorFlow, Hypothesis Testing. Completed projects involving R, Research. Strong background in Data Warehousing.",1
Web Developer,"Entry-level professional with 6 years of experience. Bachelor's in Information Technology. Proficient in MongoDB, Angular, REST APIs. Experienced with PHP, UI/UX, DevOps. Completed projects involving Ruby on Rails, jQuery. Strong background in Flask, Bootstrap.",1
Software Engineer,"Junior professional with 5 years of experience. Bachelor's in Engineering. Skills include Database Design, Java, CI/CD. Knowledge of Content Marketing, Graphic Design, Algorithms. Worked on projects involving Healthcare, Psychology. ",0
AI/ML Engineer,"Senior professional with 3 years of experience. Bachelor's in Data Science. Skills include Accounting, Marketing, Model Deployment. Knowledge of Sales, Project Management, Customer Support. ",0
Data Scientist,"Mid-level professional with 2 years of experience. Master's in Engineering. Proficient in Critical Thinking, Research, Mathematics. Experienced with Python, Hypothesis Testing, Tableau. Completed projects involving Big Data, Feature Engineering. Strong background in A/B Testing.",1
Data Scientist,"Junior professional with 4 years of experience. Master's in Computer Science. Proficient in Big Data, Scikit-learn, SQL. Experienced with Computer Science, Python, Critical Thinking. Completed projects involving Statistics. Strong background in .",1
Data Scientist,"Entry-level professional with 8 years of experience. Master's in Mathematics. Proficient in Mathematics, Research, Feature Engineering. Experienced with Data Warehousing, TensorFlow, Big Data. Completed projects involving ETL, Pandas. Strong background in .",1
Web Developer,"Senior professional with 2 years of experience. Master's in Engineering. Proficient in User Experience, jQuery, Git. Experienced with MongoDB, AJAX, Bootstrap. Completed projects involving GraphQL, Express.js. Strong background in Webpack, Responsive Design, Web Design.",1
AI/ML Engineer,"Entry-level professional with 3 years of experience. Master's in Information Technology. Proficient in Computer Vision, Neural Networks, Data Structures. Experienced with Model Optimization, Mathematics, Python. Completed projects involving . Strong background in .",1
Software Engineer,"Senior professional with 10 years of experience. Master's in Data Science. Skills include Healthcare, Psychology, Financial Analysis. Knowledge of Graphic Design, Content Marketing. ",0
AI/ML Engineer,"Entry-level professional with 7 years of experience. Bachelor's in Engineering. Proficient in Deep Learning, MLOps, Data Structures. Experienced with Computer Vision, Statistics, Neural Networks. Completed projects involving . Strong background in .",1
